U+04E01	U+04E05
U+04E0D	U+21B55	U+233B4
U+04E0F	U+04E10
U+04E23	U+0623C
U+04E29	U+20088
U+04E2A	U+201A4
U+04E2F	U+04E30
U+04E31	U+0535D
U+04E40	U+04E41
U+04E41	U+2F802
U+04E42	U+04E44	U+03405
U+04E5D	U+05C22
U+04E8C	U+2011E
U+04E91	U+20AD3
U+04E93	U+04EA3
U+04ECE	U+204DC
U+04EDA	U+05C73
U+04EDD	U+034B0
U+04EDF	U+04EE0
U+04EFB	U+04EFC
U+04F35	U+201FB
U+04F39	U+04F46
U+04F4D	U+201F8
U+050BE	U+2946D
U+0513F	U+051E0	U+20627
U+05140
U+05142	U+065E1
U+05145	U+2063A
U+05175	U+2050A
U+05183	U+065E5
U+05191	U+080C4
U+05195	U+20564
U+051E1	U+2007D
U+051F7	U+2067D
U+05203	U+05205
U+0520A	U+0520B
U+0521E	U+206E3
U+0523A	U+0524C
U+052A9	U+2084E
U+05303	U+05308
U+05315	U+2090E
U+05317	U+05735
U+0531A	U+05338
U+05343	U+05E72
U+05344	U+05EFE
U+05369	U+20061
U+0536C	U+0536D
U+0536F	U+05918	U+20A0D
U+0537C	U+05C2F
U+05382	U+20086
U+05388	U+20A2D
U+053C9	U+0355A
U+053CB	U+072AE
U+053CE	U+20B1E
U+053F1	U+20B9F
U+0547E	U+05480
U+055A6	U+05D52
U+055DB	U+21FE6
U+056DE	U+056EC
U+0572E	U+0572F
U+05765	U+05766
U+0579A	U+058F5
U+058AB	U+058FF
U+058EC	U+2123C
U+05902	U+0590A	U+06535
U+05906	U+21557
U+0593E	U+03692
U+05978	U+036A5
U+059B2	U+059D0
U+059EB	U+059EC
U+05B0E	U+05B14
U+05B51	U+2193C
U+05B5D	U+21948	U+21949
U+05C11	U+23942
U+05C22	U+21BC1
U+05C33	U+29A14
U+05C6E	U+0FA3C	U+2F878
U+05DFF	U+05E02
U+05E50	U+03B3A
U+05EF6	U+0389F	U+2231B	U+28482	U+2848C
U+05EFF
U+05F13	U+2239C
U+05F13	U+22397
U+05F56	U+27C32
U+0601A	U+0601B
U+06037	U+06038
U+06046	U+06052
U+0620C	U+0620D
U+0623B	U+0623E
U+0625D	U+2F8B4
U+06287	U+22A8F
U+062AF	U+062C5
U+0652F	U+06534
U+06539	U+0653A
U+065A4	U+23091
U+065E5	U+066F0
U+065ED	U+21BD9
U+0665F	U+20560
U+0666E	U+24F7D
U+0669C	U+2F8D5
U+066F6	U+03ADA
U+066F8	U+2F8CC
U+06701	U+03B31
U+06708	U+02EBC
U+0670A	U+043D3
U+0670C	U+080A6
U+0670F	U+080D0
U+06710	U+080CA
U+06713	U+08101
U+06718	U+08127
U+06723	U+081A7
U+06726	U+04443
U+06727	U+268AB
U+0672C	U+2097D
U+06747	U+233D3
U+0676E	U+067FF
U+06771	U+067EC
U+06797	U+233DF
U+0679A	U+22EFE
U+067E4	U+067E6
U+0688D	U+0688E
U+0689A	U+03B78
U+069F9	U+06A70
U+06A69	U+23727
U+06B25
U+06B26	U+2389D
U+06B79	U+239B6
U+06BB3	U+20B1B
U+06BC6	U+2095D
U+06BDB	U+23B1B
U+06C3E	U+06C5C
U+06C4E	U+2F8FA
U+06C97
U+06CAE	U+06CF9
U+06F78	U+23F7D
U+0709F	U+241C5
U+0722A	U+074DC	U+244F0
U+0722A	U+244EF	U+25605
U+07259	U+03E26
U+072C2	U+072C5
U+072D9	U+072DA
U+07386	U+08332
U+07389	U+0738A
U+073FE	U+27812
U+0753E	U+2F936
U+0758B	U+24D13
U+075F2	U+075F3
U+0765B	U+20621
U+07808	U+25449
U+07820	U+25472
U+07945	U+07946
U+07956	U+25635
U+07A7C	U+07F59	U+25947
U+07AAA	U+259A0
U+07CBC	U+03502
U+07D44	U+042CE
U+07F52	U+02EAB
U+07F8B	U+08289	U+0828B	U+02EB8
U+08074	U+265DF
U+08099	U+2335F
U+080C6	U+043E3
U+080F6	U+03B35
U+0813C	U+23377
U+081E3	U+268DD	U+268DE
U+081FC	U+26951
U+082DC	U+25115
U+08379	U+26BDD
U+083FB	U+26C4D
U+08641	U+21582	U+27144
U+086A9	U+2722A
U+086C6	U+045A7
U+08892	U+08893
U+08A1E	U+046B6
U+08C55	U+08C56
U+08CE3	U+27DA0
U+08ED6	U+08EE0
U+08F9B	U+2840B
U+08FFA	U+284BF
U+09004	U+09022
U+0901F	U+284AA
U+09097	U+048B4
U+090C4	U+03541
U+091C6	U+091C7
U+0958F	U+28CDD
U+0965C	U+0965D
U+0980A	U+29459
U+098EC	U+0990A
U+09BB8	U+29E03
U+09D20	U+09D21
U+09F0F	U+2A503	U+2FA1A
U+09F99	U+0352B	U+21BC3
U+03404	U+21552
U+0348C	U+203BD
U+034D8	U+24954
U+034FC	U+20798
U+03563	U+20BA6
U+0378B	U+20B1D
U+037B7	U+2125A
U+03B36	U+266E9
U+03B3B	U+04420
U+03C73	U+215B6
U+0400D	U+275DC
U+041A5	U+21A59
U+043D9	U+2F8D7
U+043E2
U+0440B	U+2F984
U+046BE	U+27976
U+04AB6	U+29470
U+04B79	U+2989E
U+04CAB	U+21C0E
U+09FB9	U+20509
U+20012	U+2009E
U+200A5	U+200A8
U+20101	U+21BFE
U+20505	U+21C24
U+2055D	U+2319A
U+20566	U+2322F
U+20570	U+23353
U+20629	U+20910
U+20679	U+2067A
U+206A8	U+20833
U+206AF	U+21BC7
U+20B27	U+2456D
U+20B8D	U+22162
U+20B99	U+20B9C
U+2151E	U+248F4
U+216A7	U+216A8	U+2F860
U+21940	U+233BC
U+219AD	U+219B4
U+219CD	U+219CE
U+21BCE	U+22482
U+21BE5	U+27224
U+21BFA	U+21BFF
U+21C0E	U+29F9B
U+21D00	U+21D44
U+21D31	U+21D46
U+22189	U+2634D
U+2234F	U+25E2D
U+22399	U+223A7
U+226D4	U+2F8A4
U+22A7B	U+22A7C
U+22AF7	U+22B2F
U+22C6D	U+22CCE
U+22F1F	U+22F43
U+2314D
U+2335F	U+2F980
U+23385	U+26772
U+2339B	U+26808
U+2559B	U+255C1
U+25AE0	U+25AF2
U+2628B
U+267A7	U+2F987
U+26842	U+26866
U+26EBA	U+26F53
U+273CA	U+2F9AB
U+27966	U+2F9CC
U+2837A	U+2837F
U+28B27	U+28B56
U+290AB	U+290AD
U+2972E	U+2976E
U+29D4F	U+29D50
U+29F94	U+29F95
